日期,收盤價,股票代碼,名稱,市場
115/03/02,1975.0,2330,台積電,上市
115/03/03,1935.0,2330,台積電,上市
115/03/04,1865.0,2330,台積電,上市
115/03/05,1900.0,2330,台積電,上市
115/03/06,1890.0,2330,台積電,上市
115/03/09,1810.0,2330,台積電,上市
115/03/10,1850.0,2330,台積電,上市
115/03/11,1940.0,2330,台積電,上市
115/03/12,1885.0,2330,台積電,上市
115/03/13,1865.0,2330,台積電,上市
115/03/16,1845.0,2330,台積電,上市
115/03/17,1870.0,2330,台積電,上市
115/03/18,1905.0,2330,台積電,上市
115/03/19,1850.0,2330,台積電,上市
115/03/20,1840.0,2330,台積電,上市
115/03/23,1810.0,2330,台積電,上市
115/03/24,1810.0,2330,台積電,上市
115/03/25,1845.0,2330,台積電,上市
115/03/26,1840.0,2330,台積電,上市
115/03/27,1820.0,2330,台積電,上市
115/03/30,1780.0,2330,台積電,上市
115/03/31,1760.0,2330,台積電,上市
115/04/01,1855.0,2330,台積電,上市
115/04/02,1810.0,2330,台積電,上市
115/04/07,1860.0,2330,台積電,上市
115/04/08,1950.0,2330,台積電,上市
115/04/09,1955.0,2330,台積電,上市
115/04/10,2000.0,2330,台積電,上市
115/04/13,1990.0,2330,台積電,上市
115/04/14,2055.0,2330,台積電,上市
115/04/15,2080.0,2330,台積電,上市
115/04/16,2085.0,2330,台積電,上市
115/04/17,2030.0,2330,台積電,上市
115/04/20,2025.0,2330,台積電,上市
115/04/21,2050.0,2330,台積電,上市
115/04/22,2050.0,2330,台積電,上市
115/04/23,2080.0,2330,台積電,上市
115/04/24,2185.0,2330,台積電,上市
115/04/27,2265.0,2330,台積電,上市
115/04/28,2215.0,2330,台積電,上市
115/04/29,2180.0,2330,台積電,上市
115/04/30,2135.0,2330,台積電,上市
115/05/04,2275.0,2330,台積電,上市
115/05/05,2250.0,2330,台積電,上市
115/05/06,2250.0,2330,台積電,上市
115/05/07,2310.0,2330,台積電,上市
115/05/08,2290.0,2330,台積電,上市
115/05/11,2235.0,2330,台積電,上市
115/05/12,2255.0,2330,台積電,上市
115/05/13,2220.0,2330,台積電,上市
115/05/14,2270.0,2330,台積電,上市
115/05/15,2265.0,2330,台積電,上市
