Date,股票代碼,名稱,成交量(股),成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,Transaction,漲幅(%)
1150402,0050,元大台灣50,113976137.0,8478357215,75.9,76.05,73.8,73.95,-1.5,162558,-1.99
1150402,0051,元大中型100,96469.0,10520225,109.05,110.7,108.05,108.05,-0.7,1553,-0.64
1150402,0052,富邦科技,33332017.0,1472525351,45.07,45.07,43.73,43.82,-0.91,30971,-2.03
1150402,0053,元大電子,9562.0,1602339,169.9,169.9,165.95,165.95,-2.2,167,-1.31
1150402,0055,元大MSCI金融,52030.0,1697548,32.63,32.85,32.5,32.52,-0.06,287,-0.18
1150402,0056,元大高股息,142688419.0,5412696178,38.52,38.52,37.7,37.82,-0.29,84427,-0.76
1150402,0057,富邦摩台,116348.0,25553379,223.1,223.1,219.0,219.45,-5.9,140,-2.62
1150402,0061,元大寶滬深,62165.0,1435848,23.17,23.28,23.03,23.03,-0.14,148,-0.6
1150402,006203,元大MSCI台灣,7365.0,1001614,138.35,138.35,135.0,135.0,-2.05,98,-1.5
1150402,006204,永豐臺灣加權,1999.0,331795,166.05,166.05,166.05,166.05,-2.4,104,-1.42
1150402,006205,富邦上証,247288.0,9747619,39.62,39.62,39.18,39.24,-0.38,197,-0.96
1150402,006206,元大上證50,8572.0,312149,36.89,36.89,36.25,36.25,-0.3,74,-0.82
1150402,006207,復華滬深,114550.0,3544505,31.05,31.05,30.86,30.86,-0.24,64,-0.77
1150402,006208,富邦台50,3309582.0,572787115,176.05,176.5,171.3,171.6,-3.7,12887,-2.11
1150402,00625K,富邦上証+R,,,,,,,0.0,,
1150402,00631L,元大台灣50正2,289231883.0,5901927120,21.35,21.35,19.96,20.0,-1.0,94394,-4.76
1150402,00632R,元大台灣50反1,138133676.0,1978289969,14.06,14.49,14.04,14.49,0.35,15258,2.48
1150402,00633L,富邦上証正2,2327873.0,107770135,46.62,46.64,45.76,45.86,-0.92,299,-1.97
1150402,00634R,富邦上証反1,342000.0,1126160,3.27,3.32,3.27,3.32,0.05,13,1.53
1150402,00635U,期元大S&P黃金,11069027.0,550499211,50.2,50.45,49.13,49.34,-0.08,6117,-0.16
1150402,00636,國泰中國A50,338966.0,9142355,27.07,27.07,26.8,26.8,-0.17,214,-0.63
1150402,00636K,國泰中國A50+U,200.0,1692,8.46,8.46,8.46,8.46,-0.01,2,-0.12
1150402,00637L,元大滬深300正2,23381828.0,447092496,19.38,19.38,18.93,18.99,-0.35,2266,-1.81
1150402,00638R,元大滬深300反1,112120.0,795078,7.07,7.12,7.07,7.12,0.08,13,1.14
1150402,00639,富邦深100,749327.0,11632915,15.61,15.61,15.41,15.46,-0.13,142,-0.83
1150402,00640L,富邦日本正2,1216151.0,107470558,90.1,90.45,86.1,86.1,-2.25,375,-2.55
1150402,00641R,富邦日本反1,1964228.0,8237762,4.13,4.24,4.12,4.23,0.05,187,1.2
1150402,00642U,期元大S&P石油,53507135.0,1493570899,26.64,28.67,26.61,28.48,0.76,11512,2.74
1150402,00643,群益深証中小,2592840.0,45863728,17.85,17.85,17.62,17.62,-0.15,157,-0.84
1150402,00643K,群益深証中小+R,,,,,,,0.0,,
1150402,00645,富邦日本,155092.0,7988219,52.0,52.15,50.9,50.95,-0.6,318,-1.16
1150402,00646,元大S&P500,3706462.0,242602465,66.2,66.2,65.3,65.45,-0.3,3765,-0.46
1150402,00647L,元大S&P500正2,134946.0,14047012,105.5,105.5,103.3,103.4,-1.75,204,-1.66
1150402,00648R,元大S&P500反1,1787600.0,8235909,4.57,4.63,4.56,4.63,0.05,118,1.09
1150402,00650L,復華香港正2,3447917.0,57141349,16.92,16.94,16.36,16.4,-0.52,637,-3.07
1150402,00651R,復華香港反1,649979.0,3519564,5.38,5.45,5.38,5.45,0.1,49,1.87
1150402,00652,富邦印度,682326.0,21610284,32.29,32.63,31.44,31.52,-0.66,564,-2.05
1150402,00653L,富邦印度正2,918614.0,38058270,43.1,43.1,40.81,40.95,-2.15,446,-4.99
1150402,00654R,富邦印度反1,175385.0,1287088,7.19,7.39,7.19,7.39,0.22,51,3.07
1150402,00655L,國泰中國A50正2,968179.0,31185168,32.51,32.51,31.85,31.93,-0.63,203,-1.93
1150402,00656R,國泰中國A50反1,517010.0,3246823,6.28,6.28,6.28,6.28,0.04,6,0.64
1150402,00657,國泰日經225,261372.0,16377222,63.25,63.25,62.1,62.1,-1.25,109,-1.97
1150402,00657K,國泰日經225+U,200.0,3908,19.54,19.54,19.54,19.54,-0.25,2,-1.26
1150402,00660,元大歐洲50,6229.0,255919,41.41,41.41,40.7,40.7,-0.71,83,-1.71
1150402,00661,元大日經225,56139.0,3853792,69.95,70.1,68.0,68.1,-1.2,245,-1.73
1150402,00662,富邦NASDAQ,5346997.0,522681515,98.8,98.8,97.15,97.15,-0.85,3663,-0.87
1150402,00663L,國泰臺灣加權正2,19871027.0,1165098485,61.0,61.15,57.25,57.3,-2.85,8133,-4.74
1150402,00664R,國泰臺灣加權反1,26231879.0,60969247,2.28,2.35,2.27,2.35,0.06,1081,2.62
1150402,00665L,富邦恒生國企正2,20928821.0,196863148,9.64,9.64,9.27,9.31,-0.28,1738,-2.92
1150402,00666R,富邦恒生國企反1,347020.0,3236377,9.32,9.4,9.29,9.4,0.16,19,1.73
1150402,00668,國泰美國道瓊,23879.0,1290782,54.25,54.25,53.7,53.85,-0.3,103,-0.55
1150402,00668K,國泰美國道瓊+U,200.0,3400,17.0,17.0,17.0,17.0,0.08,2,0.47
1150402,00669R,國泰美國道瓊反1,3462771.0,20762823,5.93,6.02,5.93,6.01,0.07,171,1.18
1150402,00670L,富邦NASDAQ正2,2096421.0,290301128,140.8,141.0,136.3,136.65,-2.6,1915,-1.87
1150402,00671R,富邦NASDAQ反1,8719979.0,26618960,3.02,3.07,3.0,3.07,0.05,459,1.66
1150402,00673R,期元大S&P原油反1,43196596.0,709169619,17.2,17.31,15.85,16.2,-0.81,11956,-4.76
1150402,00674R,期元大S&P黃金反1,876244.0,4600866,5.17,5.31,5.17,5.3,0.02,73,0.38
1150402,00675L,富邦臺灣加權正2,5015318.0,891830302,185.2,185.45,173.65,173.75,-8.75,4563,-4.79
1150402,00676R,富邦臺灣加權反1,5540557.0,43677486,7.74,7.97,7.72,7.95,0.15,754,1.92
1150402,00678,群益那斯達克生技,238117.0,8485481,36.01,36.01,35.57,35.65,-0.29,116,-0.81
1150402,00680L,元大美債20正2,19613079.0,137853413,7.11,7.11,6.99,7.0,-0.15,1093,-2.1
1150402,00681R,元大美債20反1,51000.0,1073110,21.04,21.11,21.04,21.11,0.2,2,0.96
1150402,00682U,期元大美元指數,15008.0,308472,20.43,20.6,20.43,20.55,0.11,13,0.54
1150402,00683L,期元大美元指正2,371688.0,8009766,21.41,21.65,21.41,21.65,0.15,58,0.7
1150402,00684R,期元大美元指反1,51000.0,778760,15.27,15.27,15.26,15.26,0.0,2,0.0
1150402,00685L,群益臺灣加權正2,2113056.0,339428335,166.55,166.85,156.4,156.6,-7.6,1988,-4.63
1150402,00686R,群益臺灣加權反1,9280700.0,13152605,1.39,1.43,1.38,1.43,0.03,207,2.14
1150402,00688L,國泰20年美債正2,9191053.0,64568936,7.1,7.1,6.98,6.99,-0.14,534,-1.96
1150402,00689R,國泰20年美債反1,2000.0,44180,22.09,22.09,22.09,22.09,0.25,2,1.14
1150402,00690,兆豐藍籌30,224121.0,11504463,52.4,52.45,50.9,51.0,-1.0,406,-1.92
1150402,00692,富邦公司治理,1315392.0,86488607,66.75,66.9,65.1,65.25,-1.3,1452,-1.95
1150402,00693U,期街口S&P黃豆,1106607.0,24478227,21.99,22.17,21.98,22.17,0.07,263,0.32
1150402,00700,富邦恒生國企,66252.0,1144117,17.4,17.4,17.18,17.2,-0.2,155,-1.15
1150402,00701,國泰股利精選30,1057403.0,30483356,28.9,29.1,28.65,28.73,-0.16,493,-0.55
1150402,00702,國泰標普低波高息,105769.0,2510187,23.75,23.75,23.73,23.75,0.0,71,0.0
1150402,00703,台新MSCI中國,20440.0,408728,20.3,20.3,19.94,20.2,-0.02,67,-0.1
1150402,00706L,期元大S&P日圓正2,1214468.0,23677087,19.6,19.61,19.45,19.48,-0.11,306,-0.56
1150402,00707R,期元大S&P日圓反1,4000.0,127790,31.89,32.06,31.89,32.06,0.0,3,0.0
1150402,00708L,期元大S&P黃金正2,11687699.0,1161628854,102.45,102.45,97.3,98.1,-0.45,4821,-0.46
1150402,00709,富邦歐洲,156958.0,5722983,37.0,37.0,36.32,36.37,-0.48,194,-1.3
1150402,00710B,復華彭博非投等債,152919.0,2891760,18.91,18.93,18.88,18.9,0.03,34,0.16
1150402,00711B,復華彭博新興債,163574.0,2609752,16.03,16.03,15.92,15.94,-0.05,91,-0.31
1150402,00712,復華富時不動產,15338479.0,132415108,8.71,8.71,8.6,8.61,-0.1,4891,-1.15
1150402,00713,元大台灣高息低波,5413054.0,278895150,51.75,51.85,51.3,51.35,-0.15,4259,-0.29
1150402,00714,群益道瓊美國地產,114115.0,2320599,20.31,20.35,20.31,20.34,0.06,25,0.3
1150402,00715L,期街口布蘭特正2,53837153.0,3211229242,53.8,63.0,53.7,61.7,2.8,13650,4.75
1150402,00717,富邦美國特別股,37232.0,554330,14.85,14.94,14.85,14.86,0.03,151,0.2
1150402,00728,第一金工業30,341337.0,14848527,44.73,44.73,42.7,42.99,-1.2,298,-2.72
1150402,00730,富邦臺灣優質高息,265022.0,5931872,22.37,22.59,22.15,22.2,-0.16,302,-0.72
1150402,00731,復華富時高息低波,608926.0,42984922,71.0,71.1,70.5,70.75,0.15,208,0.21
1150402,00733,富邦臺灣中小,840168.0,47628343,56.75,57.6,55.0,55.05,-0.8,966,-1.43
1150402,00735,國泰臺韓科技,1796373.0,117348745,67.0,67.25,64.3,64.35,-2.15,1547,-3.23
1150402,00736,國泰新興市場,192258.0,5281204,28.12,28.12,27.26,27.26,-0.59,106,-2.12
1150402,00737,國泰AI機器人,61354.0,1973921,32.79,32.79,31.95,32.0,-0.35,131,-1.08
1150402,00738U,期元大道瓊白銀,11424602.0,678977083,61.55,61.55,58.4,58.55,-2.3,4900,-3.78
1150402,00739,元大MSCI A股,48368.0,1290006,26.79,26.79,26.58,26.68,-0.06,106,-0.22
1150402,00752,中信中國50,988681.0,23478852,23.97,23.98,23.61,23.64,-0.33,538,-1.38
1150402,00753L,中信中國50正2,11644545.0,117811175,10.29,10.33,10.0,10.03,-0.31,1655,-3.0
1150402,00757,統一FANG+,1594415.0,167006018,106.0,106.1,104.15,104.15,-0.95,3897,-0.9
1150402,00762,元大全球AI,233059.0,18703377,80.85,81.55,79.6,79.7,-0.1,417,-0.13
1150402,00763U,期街口道瓊銅,2128995.0,64461273,30.61,30.61,30.15,30.21,-0.45,398,-1.47
1150402,00770,國泰北美科技,398837.0,19916535,50.4,50.5,49.66,49.7,-0.25,558,-0.5
1150402,00771,元大US高息特別股,8204.0,130595,15.92,16.01,15.92,16.01,0.09,60,0.57
1150402,00775B,新光投等債15+,81041.0,2633547,32.5,32.5,32.5,32.5,-0.15,81,-0.46
1150402,00783,富邦中証500,52087.0,1420271,27.38,27.38,27.1,27.1,-0.39,130,-1.42
1150402,00830,國泰費城半導體,10393680.0,564251193,55.25,55.3,53.75,53.8,-0.3,6202,-0.55
1150402,00850,元大臺灣ESG永續,898985.0,55813288,62.5,63.3,61.35,61.55,-0.95,1171,-1.52
1150402,00851,台新全球AI,6742.0,362747,54.0,54.0,53.6,53.6,-0.75,72,-1.38
1150402,00852L,國泰美國道瓊正2,1261519.0,35119998,28.18,28.28,27.57,27.6,-0.45,140,-1.6
1150402,00861,元大全球未來通訊,307559.0,19619165,64.4,64.4,63.0,63.3,-0.55,2754,-0.86
1150402,00865B,國泰US短期公債,1679894.0,81395591,48.4,48.52,48.38,48.49,0.14,620,0.29
1150402,00875,國泰網路資安,44321.0,1688866,38.51,38.51,37.98,38.01,0.08,126,0.21
1150402,00876,元大全球5G,319901.0,19724881,62.95,63.05,61.35,61.35,-0.4,2726,-0.65
1150402,00878,國泰永續高股息,49885438.0,1102725500,22.43,22.48,21.96,22.03,-0.27,30540,-1.21
1150402,00881,國泰台灣科技龍頭,13246263.0,483914306,37.16,37.31,35.99,36.08,-0.78,7454,-2.12
1150402,00882,中信中國高股息,4284254.0,66617205,15.53,15.61,15.48,15.49,-0.04,1245,-0.26
1150402,00885,富邦越南,2635208.0,46093795,17.61,17.65,17.37,17.5,-0.07,879,-0.4
1150402,00891,中信關鍵半導體,10471863.0,249493588,24.24,24.39,23.51,23.56,-0.48,5447,-2.0
1150402,00892,富邦台灣半導體,3227630.0,93247611,29.69,29.72,28.55,28.58,-0.64,1438,-2.19
1150402,00893,國泰智能電動車,1341596.0,44706886,33.7,33.7,32.96,32.99,-0.24,447,-0.72
1150402,00894,中信小資高價30,2912551.0,98123937,34.25,34.52,33.08,33.13,-0.91,1581,-2.67
1150402,00895,富邦未來車,482355.0,18939434,40.0,40.0,38.95,38.96,-0.38,385,-0.97
1150402,00896,中信綠能及電動車,2011589.0,41777887,20.98,21.19,20.44,20.5,-0.45,1076,-2.15
1150402,00897,富邦基因免疫生技,388803.0,3783102,9.76,9.83,9.67,9.67,-0.04,106,-0.41
1150402,00898,國泰基因免疫革命,281246.0,2293986,8.15,8.23,8.1,8.11,-0.02,244,-0.25
1150402,00899,FT潔淨能源,286282.0,6778628,23.71,23.73,23.47,23.47,-0.22,1659,-0.93
1150402,00900,富邦特選高股息30,7873367.0,108913186,13.97,14.0,13.74,13.76,-0.14,2782,-1.01
1150402,00901,永豐智能車供應鏈,562976.0,16467141,29.88,29.88,28.75,28.78,-0.66,213,-2.24
1150402,00902,中信電池及儲能,1414174.0,19960593,14.33,14.36,14.03,14.06,-0.18,488,-1.26
1150402,00903,富邦元宇宙,653461.0,10054056,15.53,15.6,15.33,15.33,-0.08,163,-0.52
1150402,00904,新光臺灣半導體30,4530616.0,127146933,28.6,28.7,27.57,27.7,-0.54,2125,-1.91
1150402,00905,FT臺灣Smart,3030688.0,59031569,19.85,19.92,19.28,19.36,-0.3,1725,-1.53
1150402,00907,永豐優息存股,683864.0,10032125,14.77,14.77,14.59,14.63,-0.12,498,-0.81
1150402,00908,富邦入息REITs+,146069.0,1961861,13.5,13.51,13.36,13.37,-0.05,86,-0.37
1150402,00909,國泰數位支付服務,6366143.0,230273926,36.93,36.93,35.87,35.99,-0.67,4017,-1.83
1150402,00910,第一金太空衛星,2804895.0,165187982,59.8,60.2,58.15,58.2,0.75,4816,1.31
1150402,00911,兆豐洲際半導體,364988.0,13200828,36.2,36.52,36.0,36.0,0.18,2369,0.5
1150402,00912,中信臺灣智慧50,1487829.0,36301576,24.54,24.8,24.1,24.12,-0.42,726,-1.71
1150402,00913,兆豐台灣晶圓製造,501991.0,14663853,29.85,29.87,28.7,28.71,-0.76,307,-2.58
